end	31 234
end	81 120
end	112 253
bif	113 275
bif	118 193
bif	123 233
bif	129 249
end	146 163
end	152 289
bif	163 106
bif	174 104
bif	175 142
bif	188 141
bif	188 152
bif	203 218
bif	210 224
bif	210 226
bif	212 152
bif	212 192
bif	212 214
bif	217 170
bif	219 141
bif	219 202
bif	228 121
bif	228 123
bif	231 143
bif	243 167
bif	246 273
bif	248 166
bif	250 231
end	252 314
bif	266 181
bif	271 202
end	280 151
bif	281 242
bif	288 296
bif	314 214
end	355 293
bif	431 305
bif	442 154
bif	445 304
bif	446 279
